brandName,Immune,Energy,Sleep/Calm,Cognitive/Focus,Joint/Bone,Heart/Cardio,Digestive/Gut,Men’s/Women’s,Sports/Performance,General Wellness
21st Century,0.2608695652173913,0.07246376811594203,0.043478260869565216,0.028985507246376812,0.2608695652173913,0.08695652173913043,0.07246376811594203,1.0,0.057971014492753624,0.14492753623188406
ALLMAX,0.7619047619047619,0.2976190476190476,0.39285714285714285,0.19047619047619047,0.05952380952380952,0.16666666666666666,0.25,1.0,0.75,0.10714285714285714
AN Amazing Nutrition Amazing Formulas,0.4444444444444444,0.37777777777777777,0.3333333333333333,0.1111111111111111,0.37777777777777777,0.5333333333333333,0.17777777777777778,0.9777777777777777,0.4888888888888889,0.13333333333333333
Absonutrix,0.029411764705882353,0.0,0.0,0.6764705882352942,0.0,0.029411764705882353,0.029411764705882353,1.0,0.08823529411764706,0.0
Advanced Nutrition by Zahler,0.3958333333333333,0.1875,0.10416666666666667,0.14583333333333334,0.14583333333333334,0.10416666666666667,0.3125,0.9791666666666666,0.10416666666666667,0.3958333333333333
Allergy Research Group,0.2692307692307692,0.038461538461538464,0.09615384615384616,0.1346153846153846,0.057692307692307696,0.057692307692307696,0.34615384615384615,0.3076923076923077,0.019230769230769232,0.038461538461538464
Amvilab,0.2978723404255319,0.1276595744680851,0.0425531914893617,0.1276595744680851,0.2553191489361702,0.2765957446808511,0.1702127659574468,1.0,0.1276595744680851,0.10638297872340426
Anabolic Warfare,0.125,0.53125,0.0,0.25,0.0,0.0,0.0,0.9375,0.9375,0.03125
Ancient Nutrition,0.34210526315789475,0.1513157894736842,0.1118421052631579,0.06578947368421052,0.4407894736842105,0.013157894736842105,0.5657894736842105,1.0,0.039473684210526314,0.0
Approved Science,0.044642857142857144,0.0625,0.05357142857142857,0.017857142857142856,0.026785714285714284,0.017857142857142856,0.08928571428571429,1.0,1.0,0.008928571428571428
Arbonne,0.4186046511627907,0.3488372093023256,0.023255813953488372,0.023255813953488372,0.0,0.0,0.16279069767441862,1.0,0.09302325581395349,0.023255813953488372
Arms Race Nutrition,0.5189873417721519,0.24050632911392406,0.20253164556962025,0.24050632911392406,0.012658227848101266,1.0,0.189873417721519,1.0,0.810126582278481,0.06329113924050633
BIOVEA,0.06666666666666667,0.0,0.3333333333333333,0.0,0.0,0.06666666666666667,0.03333333333333333,0.9333333333333333,0.0,0.9333333333333333
Banyan Botanicals,0.23178807947019867,0.1986754966887417,0.11920529801324503,0.08609271523178808,0.15894039735099338,0.1986754966887417,0.39072847682119205,0.9933774834437086,0.08609271523178808,0.052980132450331126
Bariatric Advantage,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2361111111111111,0.0,0.06944444444444445
