ingredient,label,n_co,odds_ratio,pmi
himalayan rock salt,Cognitive/Focus,32,93.84355997788833,3.1771570223977923
neurofactor,Cognitive/Focus,41,89.79842061512885,3.162510246433391
cognizin,Cognitive/Focus,33,72.53317666574509,3.1400553956056947
citicoline,Cognitive/Focus,40,58.42026777469991,3.096035968545376
norwegian fish oil,Cognitive/Focus,26,32.847445600756856,2.97253930278932
phosphatidylserine,Cognitive/Focus,99,28.94865296160706,2.8946748543357756
total omega-3 fatty acids,Cognitive/Focus,97,21.25838727835632,2.778723681138987
dicaffeine malate,Cognitive/Focus,20,14.875964187327824,2.6543633427630655
lion s mane,Cognitive/Focus,37,14.74707495659613,2.6273303840660494
"caffeine, natural",Cognitive/Focus,23,13.610807830162669,2.599080907261876
alphasize,Cognitive/Focus,34,13.571563254223653,2.583974014871668
teacrine,Cognitive/Focus,20,12.75,2.566900501512726
acetyl-l-carnitine,Cognitive/Focus,52,12.616183373479092,2.530534755910207
alpha-glycerylphosphorylcholine,Cognitive/Focus,63,12.499683199432294,2.5205789335831583
huperzine a,Cognitive/Focus,106,12.39638073739654,2.503667019302247
docosahexaenoic acid,Cognitive/Focus,57,11.308921387546492,2.4618154323600825
ginkgo biloba leaf extract,Cognitive/Focus,67,11.247321754438696,2.4546909979267015
ginkgo biloba extract,Cognitive/Focus,16,11.103509588925109,2.4915277661070725
eicosapentaenoic acid,Cognitive/Focus,26,10.944181646168401,2.4623445704701363
"huperzia serrata leaf, stem extract",Cognitive/Focus,27,10.836273304393647,2.454690997926701
hydromax,Cognitive/Focus,16,10.310067615378568,2.442618165626126
fish oil concentrate,Cognitive/Focus,67,10.259049801450319,2.3953124508477694
amino acid blend,Cognitive/Focus,20,9.915381083562902,2.4064358293194803
caffeine anhydrous,Cognitive/Focus,197,9.831334423794708,2.3368136883862776
astragin,Cognitive/Focus,69,9.408815624127339,2.3360465014280822
theobromine,Cognitive/Focus,68,9.27181480318258,2.326176257404021
l-carnitine l-tartrate,Cognitive/Focus,19,8.091172574785904,2.2620459199843053
ginkgo leaf extract,Cognitive/Focus,38,7.9249920898592,2.2255200439591913
omega-3 fatty acids,Cognitive/Focus,34,7.651534490583163,2.2015043780492545
beta-alanine,Cognitive/Focus,167,7.548418850744432,2.150537604767315
n-acetyl-l-tyrosine,Cognitive/Focus,27,7.447522771184102,2.186757792680068
glycerpump,Cognitive/Focus,15,7.14689061029465,2.174583078733966
acetyl-l-carnitine hydrochloride,Cognitive/Focus,32,7.029830016583748,2.1365150379004465
ginkgo biloba,Cognitive/Focus,16,6.871819063343554,2.1400553956056947
rhodiola rosea root extract,Cognitive/Focus,43,6.834266703631827,2.1067676945063942
