ingredient,label,n_co,odds_ratio,pmi,rank
black elderberry fruit extract,Immune,34,41.213027826425375,1.7230481357800502,1
black elderberry extract,Immune,49,39.306245737113905,1.7071065919110286,2
elderberry fruit extract,Immune,87,20.82480195599022,1.623208896727566,3
epicor,Immune,29,17.652679179227853,1.6261865965274613,4
proprietary formula,Immune,46,10.070417795724634,1.4853889577902917,5
bovine colostrum,Immune,26,6.3515360684425435,1.348652620998552,6
orchard fruits garden veggies powder blend,Immune,30,5.611105292295722,1.2916216759621735,7
pycnogenol,Immune,26,5.29250923585456,1.270650108997279,8
amino acid blend,Immune,25,4.703800913774667,1.2162023249749025,9
astragalus,Immune,35,4.459462366142075,1.17872761955624,10
pureway-c,Immune,27,4.1161157024793384,1.1447802876329023,11
n-acetyl-l-cysteine,Immune,63,3.971673744806939,1.1054786375256016,12
quercetin,Immune,231,3.9279791138585964,1.082512304296937,13
total omega-3 fatty acids,Immune,85,3.906194763484291,1.091922792018967,14
turmeric extract,Immune,29,3.5282018866089664,1.0558708717707064,15
saccharomyces boulardii,Immune,26,3.5274645148745867,1.0591460038035674,16
proprietary probiotic blend,Immune,81,3.519542211282999,1.0337792836451403,17
olive leaf extract,Immune,104,3.4479697296238245,1.0185040193062216,18
quercetin dihydrate,Immune,58,3.310519936470785,1.002476979864513,19
energy,Immune,87,3.2982838514378856,0.9943030484188127,20
energy blend,Energy,35,165.00194300518135,2.4951168161923407,1
ubiquinol,Energy,29,27.469750889679716,2.31454457055052,2
leucine,Energy,27,25.63014230271669,2.302471738249945,3
capsimax,Energy,26,20.591592562651577,2.2500043183558094,4
teacrine,Energy,27,18.30595084087969,2.2150088969996053,5
"caffeine, natural",Energy,30,17.741870247532763,2.2013856131356304,6
carnosyn,Energy,61,15.844444444444445,2.145532378402113,7
raw probiotic enzyme blend,Energy,37,15.833053567747445,2.15808182891477,8
l-carnitine l-tartrate,Energy,30,14.192493124089953,2.127385031691854,9
ionic trace minerals,Energy,25,13.215756008190537,2.1080936930830934,10
caffeine,Energy,249,12.721699797643138,2.04304858596853,11
citicoline,Energy,31,9.766731391585761,1.9715548601353279,12
citrulline malate,Energy,76,9.589933698980154,1.9417243944720546,13
guarana seed extract,Energy,25,9.148076301325574,1.9476290208898475,14
maltase,Energy,26,8.822473726758286,1.928076223468447,15
l-alanine,Energy,44,8.255132155018648,1.8784454557438464,16
theobromine,Energy,84,8.167741145748327,1.8601136329715893,17
asian ginseng root extract,Energy,29,8.07591299217843,1.8784454557438464,18
l-carnitine,Energy,94,7.697400686611084,1.8265676851982096,19
green coffee bean extract,Energy,64,7.6647144948755495,1.8309841020375768,20
melatonin,Sleep/Calm,546,151.1935325602141,3.229809663050988,1
gaba,Sleep/Calm,46,70.42507246376812,3.1783863326749944,2
lemon balm aerial parts extract,Sleep/Calm,27,50.07229749207264,3.1315921211960527,3
suntheanine,Sleep/Calm,51,39.00754716981132,3.0473969937796244,4
lemon balm extract,Sleep/Calm,36,36.85028901734104,3.041837468437724,5
"huperzia serrata leaf, stem extract",Sleep/Calm,39,35.88429273936939,3.0314554499106032,6
passionflower extract,Sleep/Calm,26,30.165886167146976,2.9916618600515776,7
valerian root extract,Sleep/Calm,75,28.69438760596317,2.9428080925024247,8
lemon balm,Sleep/Calm,27,25.032113000864804,2.922138755567103,9
gamma-aminobutyric acid,Sleep/Calm,88,24.52438113529663,2.881107392830252,10
valerian,Sleep/Calm,36,23.68565235342692,2.8898343749926743,11
5-hydroxytryptophan,Sleep/Calm,67,23.6421921618772,2.872541229280757,12
chamomile flower extract,Sleep/Calm,54,23.589690379347555,2.8767782221672276,13
lemon balm leaf extract,Sleep/Calm,43,23.24089879218412,2.8767782221672276,14
passionflower,Sleep/Calm,26,20.10799711815562,2.831197187858332,15
5-htp,Sleep/Calm,46,19.196930171277998,2.7913632095657466,16
sensoril,Sleep/Calm,49,16.65216129968088,2.720165875469588,17
l-theanine,Sleep/Calm,280,12.882260348972839,2.524972864407141,18
chamomile,Sleep/Calm,31,12.447455925716795,2.5693496969749803,19
ashwagandha root extract,Sleep/Calm,97,10.252264864919702,2.415385087196644,20
himalayan rock salt,Cognitive/Focus,32,93.84355997788833,3.1771570223977923,1
neurofactor,Cognitive/Focus,41,89.79842061512885,3.162510246433391,2
cognizin,Cognitive/Focus,33,72.53317666574509,3.1400553956056947,3
citicoline,Cognitive/Focus,40,58.42026777469991,3.096035968545376,4
norwegian fish oil,Cognitive/Focus,26,32.847445600756856,2.97253930278932,5
phosphatidylserine,Cognitive/Focus,99,28.94865296160706,2.8946748543357756,6
total omega-3 fatty acids,Cognitive/Focus,97,21.25838727835632,2.778723681138987,7
lion s mane,Cognitive/Focus,37,14.74707495659613,2.6273303840660494,8
alphasize,Cognitive/Focus,34,13.571563254223653,2.583974014871668,9
acetyl-l-carnitine,Cognitive/Focus,52,12.616183373479092,2.530534755910207,10
alpha-glycerylphosphorylcholine,Cognitive/Focus,63,12.499683199432294,2.5205789335831583,11
huperzine a,Cognitive/Focus,106,12.39638073739654,2.503667019302247,12
docosahexaenoic acid,Cognitive/Focus,57,11.308921387546492,2.4618154323600825,13
ginkgo biloba leaf extract,Cognitive/Focus,67,11.247321754438696,2.4546909979267015,14
eicosapentaenoic acid,Cognitive/Focus,26,10.944181646168401,2.4623445704701363,15
"huperzia serrata leaf, stem extract",Cognitive/Focus,27,10.836273304393647,2.454690997926701,16
fish oil concentrate,Cognitive/Focus,67,10.259049801450319,2.3953124508477694,17
caffeine anhydrous,Cognitive/Focus,197,9.831334423794708,2.3368136883862776,18
astragin,Cognitive/Focus,69,9.408815624127339,2.3360465014280822,19
theobromine,Cognitive/Focus,68,9.27181480318258,2.326176257404021,20
glucosamine sulfate potassium chloride,Joint/Bone,42,370.28909952606637,3.270370327159713,1
glucosamine sulfate,Joint/Bone,119,117.30674264007597,3.177260922768231,2
chondroitin sulfate,Joint/Bone,141,83.79682721712538,3.1347152278021464,3
glucosamine hydrochloride,Joint/Bone,100,46.50148394505675,3.033764046603564,4
multi collagen complex,Joint/Bone,27,40.01258560059227,3.033331129858863,5
biocell collagen,Joint/Bone,28,27.63272547749082,2.918897956658335,6
strontium,Joint/Bone,30,24.17967112076587,2.8670146329285044,7
collagen peptides,Joint/Bone,68,22.148865799244906,2.809039175606934,8
bovine collagen peptides,Joint/Bone,32,21.790402258292165,2.8229113501884915,9
methylsulfonylmethane,Joint/Bone,179,15.594934571549176,2.622672071090594,10
optimsm,Joint/Bone,35,13.442839515133919,2.582314333474453,11
collagen,Joint/Bone,36,10.958636045183642,2.457455879760208,12
hyaluronic acid,Joint/Bone,137,10.668716464701273,2.4073512299871096,13
vitamin k2,Joint/Bone,271,9.186067544614298,2.278348384583237,14
vitamin d3,Joint/Bone,673,5.535699811086331,1.7789929752831173,15
silicon,Joint/Bone,43,5.1797630052945625,1.871820950669438,16
boron,Joint/Bone,272,4.640586049574338,1.7120757769006367,17
total omega-3 fatty acids,Joint/Bone,47,4.585892425088405,1.7573007449203424,18
turmeric,Joint/Bone,72,4.262941744105646,1.6788351725150703,19
vitamin k1,Joint/Bone,39,4.237972419959421,1.6854078264385566,20
"huperzia serrata leaf, stem extract",Heart/Cardio,43,39.150668137795755,2.520225023812491,1
ubiquinol,Heart/Cardio,29,31.9512105649303,2.4949310036485812,2
nattokinase,Heart/Cardio,33,18.115859030837004,2.3367013358386437,3
norwegian fish oil,Heart/Cardio,25,17.29243035190616,2.331548848073041,4
total omega-3 fatty acids,Heart/Cardio,101,15.27366790582404,2.249896508301371,5
fish oil concentrate,Heart/Cardio,88,13.294898737045965,2.197040369869925,6
no3-t,Heart/Cardio,55,11.516289092404094,2.1430081684633815,7
fish oil,Heart/Cardio,136,11.424914729797798,2.1224836410720003,8
policosanol,Heart/Cardio,32,10.985111947146265,2.1349348679276994,9
pregnenolone,Heart/Cardio,27,10.643197653098643,2.1253061667299225,10
vasodrive-ap,Heart/Cardio,26,10.26120204268692,2.108462656566508,11
elevatp,Heart/Cardio,44,9.235438095103351,2.03807332867511,12
coenzyme q10,Heart/Cardio,64,8.922220171066396,2.0113705351356383,13
eicosapentaenoic acid,Heart/Cardio,29,8.871362191244803,2.027804993221283,14
dehydroepiandrosterone,Heart/Cardio,51,8.169255768605785,1.9665520312937923,15
neurofactor,Heart/Cardio,26,7.5595831926286845,1.938537655124196,16
"beet, powder",Heart/Cardio,44,7.5022415854331435,1.9194288321764912,17
bioperine complex,Heart/Cardio,49,7.415418916707576,1.909968502927425,18
pine bark extract,Heart/Cardio,49,6.206759256087954,1.7957974830081138,19
coenzyme q-10,Heart/Cardio,246,5.833003349033207,1.7199886351388995,20
proprietary probiotic blend,Digestive/Gut,131,126.95549923973644,2.489938519697842,1
alpha-galactosidase,Digestive/Gut,47,113.81109445277362,2.503259898195676,2
glucoamylase,Digestive/Gut,64,103.03430226083083,2.48928586416041,3
invertase,Digestive/Gut,62,99.83066132264528,2.4879193520611897,4
hemicellulase,Digestive/Gut,56,90.23256589923257,2.4832542063926284,5
xylanase,Digestive/Gut,56,90.23256589923257,2.4832542063926284,6
pectinase,Digestive/Gut,52,83.84450372346338,2.4795679826282675,7
"flaxseed, powder",Digestive/Gut,34,82.80792885638297,2.492365257092382,8
fiber blend,Digestive/Gut,33,80.4286189130796,2.491187065895101,9
probiotic blend,Digestive/Gut,209,53.834509231476225,2.414362745091109,10
cellulase,Digestive/Gut,116,46.756951466127404,2.4033719611731326,11
maltase,Digestive/Gut,36,43.78138510143,2.4205325123313153,12
psyllium,Digestive/Gut,43,41.69855168969536,2.407476359505869,13
"psyllium, powder",Digestive/Gut,25,40.94694329183956,2.4260920376732162,14
bifidobacterium bifidum,Digestive/Gut,28,27.414679508468947,2.3465941173588467,15
protease,Digestive/Gut,130,26.226738457207208,2.299643702432277,16
saccharomyces boulardii,Digestive/Gut,36,21.88761639507815,2.2830289885813806,17
pepsin,Digestive/Gut,44,21.322927072927072,2.269972835755934,18
inulin,Digestive/Gut,78,20.908954751804718,2.251825489045675,19
pancreatin,Digestive/Gut,55,20.44698787451081,2.2528993223969924,20
saw palmetto berry extract,Men’s/Women’s,111,25.98281294757949,0.32057939197954816,1
black cohosh,Men’s/Women’s,49,11.573776348695963,0.32057939197954816,2
calcium d-glucarate,Men’s/Women’s,49,11.573776348695963,0.32057939197954816,3
mucuna pruriens seed extract,Men’s/Women’s,49,11.573776348695963,0.32057939197954816,4
"huperzia serrata leaf, stem extract",Men’s/Women’s,48,11.34189560930299,0.32057939197954816,5
raw probiotic enzyme blend,Men’s/Women’s,47,11.110031437553587,0.32057939197954816,6
bioperine complex,Men’s/Women’s,83,9.732293604235227,0.3035058786206066,7
green tea,Men’s/Women’s,38,9.023999142887755,0.32057939197954816,8
lobelia,Men’s/Women’s,38,9.023999142887755,0.32057939197954816,9
amino acid blend,Men’s/Women’s,37,8.792300549960718,0.32057939197954793,10
dong quai root extract,Men’s/Women’s,36,8.56061850516016,0.32057939197954793,11
tribulus fruit extract,Men’s/Women’s,34,8.097304052847706,0.32057939197954816,12
black walnut,Men’s/Women’s,33,7.865671641791045,0.32057939197954793,13
5-htp,Men’s/Women’s,66,7.757945161405641,0.29920574118698096,14
all herbal ingredients,Men’s/Women’s,32,7.634055771771343,0.32057939197954816,15
raw organic fruit vegetable blend,Men’s/Women’s,32,7.634055771771343,0.32057939197954816,16
"tongkat ali, powder",Men’s/Women’s,32,7.634055771771343,0.32057939197954816,17
"panax ginseng, powder",Men’s/Women’s,31,7.402456441016852,0.32057939197954816,18
saw palmetto fruit extract,Men’s/Women’s,31,7.402456441016852,0.32057939197954816,19
horse chestnut seed extract,Men’s/Women’s,30,7.170873647756078,0.32057939197954816,20
no3-t,Sports/Performance,79,169.85984156002436,2.380185561563071,1
vasodrive-ap,Sports/Performance,39,168.83706844336766,2.3981074695603337,2
glycerpump,Sports/Performance,33,143.38124054462935,2.3981074695603337,3
hydromax,Sports/Performance,29,126.43634714242516,2.3981074695603337,4
nitrosigine,Sports/Performance,96,82.58704750267297,2.3398088289956664,5
beta-alanine,Sports/Performance,343,76.05130158730158,2.3205464862666805,6
hydroprime,Sports/Performance,31,67.45069570477919,2.3537133502018803,7
citrulline malate,Sports/Performance,106,65.16713651959178,2.319395493546293,8
alphasize,Sports/Performance,52,56.031558185404336,2.3186730020659287,9
senactiv,Sports/Performance,43,46.45333333333333,2.3029502365199934,10
himalayan rock salt,Sports/Performance,32,46.37770382695508,2.3132185719738203,11
agmatine sulfate,Sports/Performance,97,46.35512781342295,2.2848968591123424,12
creatine monohydrate,Sports/Performance,226,44.787694617989146,2.2704596464643734,13
carnosyn,Sports/Performance,72,44.229775854947064,2.284151280263248,14
l-citrulline malate,Sports/Performance,87,37.40402684563758,2.257626246010503,15
"huperzia serrata leaf, stem extract",Sports/Performance,43,30.966666666666665,2.2428292440824227,16
l-citrulline,Sports/Performance,282,30.204274523487257,2.207375357698291,17
l-isoleucine,Sports/Performance,120,25.836087689713324,2.1876876898899615,18
elevatp,Sports/Performance,60,25.821449187300622,2.199561790178253,19
"whey protein isolate, microfiltered, ultrafiltered",Sports/Performance,28,24.43715797430083,2.211694345329452,20
orchard fruits garden veggies powder blend,General Wellness,36,55.906456874220474,3.321451577968075,1
lycopene,General Wellness,207,12.410044407697335,2.616650865725939,2
molybdenum,General Wellness,540,12.330198361686493,2.5289595121511312,3
vitamin k,General Wellness,375,11.54704275609448,2.5248957433033943,4
iodine,General Wellness,722,11.529722494368139,2.427859982014432,5
vanadium,General Wellness,170,11.28291518229364,2.559510700745262,6
floraglo,General Wellness,38,10.30859375,2.538262967041223,7
vitamin a,General Wellness,972,9.227405480386986,2.1659235550880935,8
lutein,General Wellness,220,9.150474561891885,2.389527587430084,9
selenium,General Wellness,766,8.917429139807687,2.209204878248435,10
biotin,General Wellness,896,8.67796687136955,2.141433892563327,11
vitamin e,General Wellness,990,8.552356771497019,2.0943994330458526,12
manganese,General Wellness,681,8.462213504699477,2.1928349569052257,13
pantothenic acid,General Wellness,855,8.338553526140371,2.121751503496938,14
inositol,General Wellness,352,8.091380141625798,2.253594490722943,15
copper,General Wellness,609,7.942129111359881,2.1615717794118616,16
thiamine,General Wellness,702,7.890623103767749,2.126050002872974,17
riboflavin,General Wellness,719,7.807820580985065,2.1112528260963033,18
para-aminobenzoic acid,General Wellness,112,7.6283274465885595,2.2709790882060714,19
folate,General Wellness,860,7.441638597598837,2.0201753100352278,20
