label,Cognitive/Focus,Digestive/Gut,Energy,General Wellness,Heart/Cardio,Immune,Joint/Bone,Men’s/Women’s,Sleep/Calm,Sports/Performance
Cognitive/Focus,2308.0,364.0,940.0,359.0,953.0,997.0,414.0,1731.0,548.0,725.0
Digestive/Gut,364.0,3890.0,917.0,446.0,666.0,1739.0,448.0,2701.0,416.0,720.0
Energy,940.0,917.0,3939.0,604.0,1121.0,1642.0,470.0,2918.0,706.0,1528.0
General Wellness,359.0,446.0,604.0,2073.0,486.0,1019.0,419.0,1516.0,260.0,383.0
Heart/Cardio,953.0,666.0,1121.0,486.0,3547.0,1595.0,816.0,2557.0,537.0,1003.0
Immune,997.0,1739.0,1642.0,1019.0,1595.0,6886.0,1284.0,4916.0,804.0,1603.0
Joint/Bone,414.0,448.0,470.0,419.0,816.0,1284.0,2732.0,1949.0,289.0,711.0
Men’s/Women’s,1731.0,2701.0,2918.0,1516.0,2557.0,4916.0,1949.0,18403.0,1834.0,2801.0
Sleep/Calm,548.0,416.0,706.0,260.0,537.0,804.0,289.0,1834.0,2256.0,585.0
Sports/Performance,725.0,720.0,1528.0,383.0,1003.0,1603.0,711.0,2801.0,585.0,3785.0
