label,feature,coef
Immune,black elderberry fruit extract,3.1109477178698386
Immune,proprietary formula,2.802470692755121
Immune,black cumin seed oil,2.4202293239284547
Immune,black elderberry extract,2.3875672521871114
Immune,epicor,2.1858898779878833
Immune,elderberry fruit extract,2.021295735003299
Immune,raw organic fruit vegetable blend,1.7858664303602523
Immune,neurofactor,1.7741790865575933
Immune,astragalus,1.5974573052648557
Immune,bovine colostrum,1.5756265559837386
Immune,pycnogenol,1.4201383207786498
Immune,ionic trace minerals,1.3455909320525614
Immune,nickel,1.2898421297924383
Immune,"pumpkin, powder",1.2897682595683784
Immune,turmeric extract,1.2712732612673017
Immune,"bamboo leaf, stem extract",1.2344744802063679
Immune,serrapeptase,1.175680735358426
Immune,olive leaf extract,1.1716212296190607
Immune,ubiquinol,1.1161785085954237
Immune,dicaffeine malate,1.0777926731704295
Immune,saccharomyces boulardii,1.0577949949491696
Immune,proprietary probiotic blend,1.0202157272420853
Immune,"turmeric, powder",0.9902539077915952
Immune,quercetin,0.9783349446805847
Immune,n-acetyl-l-cysteine,0.9425867979047133
Immune,orchard fruits garden veggies powder blend,0.8956759668286748
Immune,vitamin d2,0.868406847992989
Immune,turmeric,0.8462621458996493
Immune,total omega-3 fatty acids,0.8379985865873503
Immune,l-lysine,0.8305075977551684
Energy,ubiquinol,3.4594978229096185
Energy,energy blend,3.1613796244271177
Energy,leucine,2.454555338231389
Energy,raw probiotic enzyme blend,1.985826074827091
Energy,citicoline,1.9664513032168907
Energy,caffeine,1.8420620519401047
Energy,coenzyme q10,1.6867316229752303
Energy,l-carnitine,1.5610595423069646
Energy,"beet, powder",1.4911490330523431
Energy,nickel,1.4226594409647408
Energy,d-ribose,1.397095492560903
Energy,ionic trace minerals,1.3862969453814087
Energy,l-alanine,1.3625080922023458
Energy,capsimax,1.3428347017282414
Energy,"panax ginseng, powder",1.3414399566113955
Energy,bovine colostrum,1.3143341691456436
Energy,silymarin,1.2845582158543984
Energy,beta-nicotinamide mononucleotide,1.246615720017595
Energy,cordyceps,1.2297709231699432
Energy,coenzyme q-10,1.212639254077366
Energy,maltase,1.1897524398867856
Energy,l-carnitine l-tartrate,1.176776364057194
Energy,bioperine complex,1.1273934196184772
Energy,teacrine,1.1230990885237135
Energy,tongkat ali root extract,1.1173805756384274
Energy,vitamin b12,1.0974170680303523
Energy,citrulline malate,1.0405534014710889
Energy,green coffee bean extract,1.0270957730399102
Energy,rhodiola root extract,0.9954891857365253
Energy,carnosyn,0.9926184742923837
Sleep/Calm,melatonin,4.697877151635494
Sleep/Calm,"bamboo leaf, stem extract",3.5557239348294374
Sleep/Calm,"huperzia serrata leaf, stem extract",3.4313835760484594
Sleep/Calm,suntheanine,2.866774612173072
Sleep/Calm,gaba,2.4270923172666974
Sleep/Calm,valerian root extract,2.387315898061013
Sleep/Calm,l-5-hydroxytryptophan,2.38251041072617
Sleep/Calm,sensoril,2.3336977260709095
Sleep/Calm,ksm-66,2.2479080799971305
Sleep/Calm,"ashwagandha, powder",2.207454649709706
Sleep/Calm,ashwagandha root extract,2.030692821062169
Sleep/Calm,l-tryptophan,2.014311295525388
Sleep/Calm,lemon balm,1.9915135172869955
Sleep/Calm,passionflower aerial parts extract,1.9507159948737476
Sleep/Calm,valerian,1.8992027948884513
Sleep/Calm,5-htp,1.8877345183280876
Sleep/Calm,ashwagandha,1.7775940138017718
Sleep/Calm,magnolia bark extract,1.7480437640458695
Sleep/Calm,passionflower,1.6923236740224297
Sleep/Calm,holy basil,1.6893489284291112
Sleep/Calm,chamomile,1.6474110754761837
Sleep/Calm,l-theanine,1.5879420158430906
Sleep/Calm,carbohydrates,1.500850642925529
Sleep/Calm,5-hydroxytryptophan,1.4282470497881736
Sleep/Calm,reishi mushroom fruiting body extract,1.402010584966622
Sleep/Calm,holy basil leaf extract,1.359186827066358
Sleep/Calm,lemon balm aerial parts extract,1.27171884916443
Sleep/Calm,dehydroepiandrosterone,1.2660795237649856
Sleep/Calm,pine bark extract,1.1834078158266579
Sleep/Calm,hydromax,1.0706738745831341
Cognitive/Focus,citicoline,3.0619265018168065
Cognitive/Focus,lion s mane,2.896075263166675
Cognitive/Focus,cognizin,2.662571796738023
Cognitive/Focus,ginkgo biloba leaf extract,2.5515459370545877
Cognitive/Focus,norwegian fish oil,2.5089775064794635
Cognitive/Focus,neurofactor,2.346721129420608
Cognitive/Focus,reishi mushroom fruiting body extract,2.1602010443498845
Cognitive/Focus,phosphatidylserine,2.1472523699394697
Cognitive/Focus,ginkgo leaf extract,2.145905448328361
Cognitive/Focus,total omega-3 fatty acids,1.9366629512451456
Cognitive/Focus,himalayan rock salt,1.913263970878674
Cognitive/Focus,ginkgo biloba extract,1.8978688678876035
Cognitive/Focus,amino acid blend,1.8493752362728326
Cognitive/Focus,acetyl-l-carnitine,1.79615333797577
Cognitive/Focus,productT_Fat/Fatty Acid,1.69228171049782
Cognitive/Focus,l-alanine,1.483203680553885
Cognitive/Focus,gotu kola,1.4047155744356987
Cognitive/Focus,energy,1.3529319694603914
Cognitive/Focus,ginkgo biloba,1.336058388169896
Cognitive/Focus,cordyceps mycelium extract,1.185242111690311
Cognitive/Focus,choline,1.0736080922115532
Cognitive/Focus,docosahexaenoic acid,1.0343540473491684
Cognitive/Focus,"caffeine, natural",1.0325954445146819
Cognitive/Focus,hydromax,1.0056545559113843
Cognitive/Focus,omega-3 fatty acids,0.9665402091481441
