label,spearman_rho,p_value,start_prev,end_prev
Immune,-0.16330645161290325,0.38005181203439187,0.3532796317606444,0.29250720461095103
Energy,0.1431451612903226,0.4423592092878864,0.18757192174913695,0.19596541786743515
Sleep/Calm,0.17500000000000002,0.3463912729496035,0.10126582278481013,0.10158501440922191
Cognitive/Focus,0.36008064516129035,0.04661636793251892,0.1093210586881473,0.10590778097982709
Joint/Bone,0.1532258064516129,0.41054049416218064,0.1093210586881473,0.09582132564841499
Heart/Cardio,-0.030645161290322586,0.870005486611063,0.17491369390103567,0.138328530259366
Digestive/Gut,0.15766129032258067,0.3969596036225368,0.22669735327963175,0.16930835734870317
Men’s/Women’s,-0.14475806451612905,0.4371803494803197,0.8814729574223246,0.8097982708933718
Sports/Performance,0.5326612903225807,0.0020364254561312783,0.17721518987341772,0.21685878962536023
General Wellness,0.057661290322580654,0.7580002892581764,0.11967779056386652,0.06628242074927954
