ingredient_name,n_products
calories,5811
total carbohydrates,4107
vitamin c,3858
calcium,3574
vitamin b6,2974
magnesium,2955
sodium,2939
zinc,2881
vitamin b12,2810
total fat,2579
vitamin e,2214
niacin,2113
folate,2110
potassium,2088
biotin,2032
vitamin a,2021
protein,1938
pantothenic acid,1936
proprietary blend,1826
vitamin d,1768
riboflavin,1663
selenium,1645
thiamine,1601
chromium,1559
iron,1549
manganese,1509
vitamin d3,1506
iodine,1369
copper,1348
cholesterol,1144
molybdenum,980
choline,925
inositol,769
boron,682
total carbohydrate,674
vitamin k,660
phosphorus,654
proprietary extract blend,485
lutein,448
vitamin k2,436
melatonin,432
coenzyme q-10,406
taurine,368
lycopene,348
bromelain,345
l-glutamine,335
vanadium,306
l-theanine,302
alpha-lipoic acid,299
green tea leaf extract,296
grape seed extract,288
vitamin b2,284
vitamin b1,284
quercetin,282
chloride,282
bioperine,276
para-aminobenzoic acid,268
rutin,244
zeaxanthin,233
methylsulfonylmethane,231
l-tyrosine,230
caffeine,219
alpha lipoic acid,193
turmeric root extract,187
vitamin b3,184
betaine hydrochloride,183
hyaluronic acid,183
citrus bioflavonoid complex,182
fish oil,170
milk thistle seed extract,167
l-arginine,163
turmeric,162
l-leucine,160
probiotic blend,158
beta-alanine,156
energy,152
papain,150
carbohydrates,150
folic acid,145
total sugars,142
ginger,140
l-citrulline,139
olive leaf extract,139
glycine,135
vitamin b5,135
lipase,134
chondroitin sulfate,133
caffeine anhydrous,132
ginger root extract,131
l-carnitine,127
astaxanthin,125
l-lysine,125
amylase,125
proprietary probiotic blend,124
silica,123
protease,123
n-acetyl cysteine,123
ashwagandha root extract,122
creatine monohydrate,120
l-valine,119
l-isoleucine,118
fish oil concentrate,116
trans-resveratrol,114
glucosamine sulfate,110
silicon,109
betaine anhydrous,108
vitamin k1,107
proprietary blend extract,105
huperzine a,102
glucosamine hydrochloride,102
stevia leaf extract,101
ginkgo biloba leaf extract,100
cellulase,97
proprietary enzyme blend,97
l-methionine,96
phosphatidylserine,96
total omega-3 fatty acids,96
saw palmetto berry extract,94
lactase,93
n-acetyl-l-cysteine,93
coenzyme q10,92
lactobacillus acidophilus,91
citrus bioflavonoids,89
resveratrol,89
mixed tocopherols,89
hesperidin,88
flaxseed oil,87
docosahexaenoic acid,86
bilberry fruit extract,85
spirulina,84
bioperine complex,84
turmeric rhizome extract,83
l-cysteine,80
gamma-aminobutyric acid,79
rhodiola root extract,77
floraglo,77
rose hip,75
valerian root extract,75
astragalus root extract,75
quercetin dihydrate,73
l-tryptophan,72
fructooligosaccharides,72
ksm-66,72
5-hydroxytryptophan,71
bacillus coagulans,71
enzyme blend,71
garlic,71
diindolylmethane,70
licorice root extract,68
apple cider vinegar,67
black pepper fruit extract,67
betaine,67
artichoke leaf extract,67
inulin,67
l-taurine,66
thiamin,65
berberine hydrochloride,65
acetyl-l-carnitine,63
l-lysine hydrochloride,63
green coffee bean extract,63
eleuthero root extract,63
dietary fiber,62
l-alanine,62
theobromine,62
chamomile flower extract,62
dehydroepiandrosterone,62
"beet, powder",62
ginkgo leaf extract,62
l-citrulline malate,61
elderberry fruit extract,61
sensoril,61
proprietary herbal blend,61
dandelion,60
cranberry fruit extract,59
chlorella,59
suntheanine,58
rhodiola rosea root extract,58
glucoamylase,57
collagen peptides,57
green tea extract,57
dandelion root extract,56
omega-3 fatty acids,56
d-mannose,56
l-glutathione,56
carnosyn,55
paba,55
invertase,55
lecithin,55
choline bitartrate,55
saw palmetto,55
lemon balm leaf extract,54
medium chain triglyceride oil,53
l-glycine,53
rosemary leaf extract,53
acetyl-l-carnitine hydrochloride,53
pancreatin,52
citrulline malate,52
ashwagandha,52
slippery elm,51
5-htp,51
soy lecithin,51
rose hips,51
cinnamon,51
astragin,51
black elderberry extract,50
kelp,50
fat,50
benfotiamine,50
xylanase,50
"garlic, powder",49
beet,49
pepsin,49
cinnamon bark extract,49
collagen,48
pine bark extract,48
hemicellulase,47
bioflavonoids,47
maca,47
pectinase,47
"maca, powder",46
l-arginine hydrochloride,46
branched-chain amino acids,46
"collagen, hydrolyzed",46
l-carnosine,46
nitrosigine,45
medium chain triglyceride,45
n-acetyl-l-tyrosine,45
n-acetyl l-cysteine,45
chamomile,45
reishi,45
lion s mane,45
pumpkin seed oil,45
l-phenylalanine,44
chlorophyll,44
trimethylglycine,44
black cohosh root extract,43
fennel,43
"turmeric, powder",43
asian ginseng root extract,43
fenugreek seed extract,43
alfalfa,42
optimsm,42
holy basil leaf extract,42
alpha-galactosidase,42
orchard fruits garden veggies powder blend,42
krill oil,42
"spirulina, powder",41
eleuthero,41
l-glutamic acid,41
l-threonine,41
valerian,41
milk thistle,40
garlic bulb extract,40
l-proline,40
kaneka ubiquinol,40
"ashwagandha, powder",40
strontium,40
malic acid,40
niacinamide,40
salt,40
"ginger, powder",39
astragalus,39
stinging nettle root extract,39
agmatine sulfate,39
gaba,39
burdock,39
digestive enzyme blend,39
lithium,39
hawthorn,39
calcium d-glucarate,39
hesperidin complex,38
parsley,38
banaba leaf extract,38
psyllium,38
saccharomyces boulardii,37
panax ginseng root extract,37
pomegranate fruit extract,37
dl-methionine,36
maltase,36
"alfalfa, powder",36
apple pectin,36
cranberry,36
eicosapentaenoic acid,36
glucosamine sulfate potassium chloride,35
bitter melon fruit extract,35
lemon bioflavonoid complex,35
beta-sitosterol,35
turmeric extract,35
"apple cider vinegar, powder",35
conjugated linoleic acid,35
marshmallow,35
arabinogalactan,34
maca root extract,34
serrapeptase,34
policosanol,34
ginger rhizome extract,34
gotu kola,34
lemon balm extract,34
cayenne,34
caprylic acid,34
evening primrose oil,33
grapefruit seed extract,33
ubiquinol,33
cayenne pepper,33
schisandra berry extract,33
fenugreek,33
bioflavonoid complex,33
licorice,33
msm,33
norwegian fish oil,32
gymnema leaf extract,32
"whey protein isolate, microfiltered, ultrafiltered",32
marshmallow root extract,32
nattokinase,32
chromemate,32
total cannabinoids,32
pycnogenol,32
raw probiotic enzyme blend,31
biocell collagen,31
silymarin,31
nettle,31
d-ribose,31
neurofactor,31
l-histidine,31
myo-inositol,31
"l-glutathione, reduced",31
hawthorn berry extract,31
dong quai root extract,31
cordyceps,31
alphasize,31
black pepper,31
nettle root extract,30
american ginseng root extract,30
pureway-c,30
tribulus fruit extract,30
horse chestnut seed extract,30
saw palmetto fruit extract,30
"bamboo leaf, stem extract",29
reishi mushroom extract,29
lemon balm aerial parts extract,29
energy blend,29
lemon balm,29
red yeast rice,29
garcinia cambogia fruit extract,29
"cranberry, powder",29
no3-t,29
white willow bark extract,28
amino acid blend,28
black elderberry fruit extract,28
ginkgo biloba,28
horsetail,28
nickel,28
sulfate,28
acerola,28
multi collagen complex,28
phosphatidylcholine,28
echinacea,28
metafolin,27
"broccoli, powder",27
alpha-glycerylphosphorylcholine,27
yohimbe bark extract,27
l-ornithine hydrochloride,27
coq10,27
luteolin,27
bilberry extract,27
pectin,27
bovine collagen peptides,27
octacosanol,27
tart cherry fruit extract,27
proprietary complex,27
wild yam,27
cat s claw,27
passionflower,27
cordyceps mycelium extract,26
dl-phenylalanine,26
piperine,26
electrolyte blend,26
chondroitin sulfate sodium,26
bacillus subtilis de111,26
goldenseal,26
n-acetyl l-tyrosine,26
epicor,26
broccoli,26
guarana seed extract,26
cat s claw bark extract,26
saw palmetto extract,26
kirkman proprietary blend,25
passionflower extract,25
pregnenolone,25
"aged garlic bulb extract, powder",25
hops flower extract,25
passionflower aerial parts extract,25
maitake,25
bilberry,25
vitamin b-6,25
green tea,25
pomegranate extract,25
indole-3-carbinol,25
gamma-linolenic acid,25
omega-3 polyunsaturated fat,25
food blend,25
"glutathione, reduced",25
"cayenne, powder",25
blend,25
chaga,24
buchu leaf extract,24
pygeum bark extract,24
physioprotease,24
"chlorella, powder",24
red clover,24
burdock root extract,24
saturated fat,24
cognizin,24
lutemax 2020,24
milk thistle extract,24
cannabidiol,24
arginine alpha-ketoglutarate,24
elderberry,24
black cohosh,24
vitamin d2,24
cascara sagrada,23
phospholipids,23
bacillus subtilis de-111,23
ionic sea minerals,23
glutamic acid,23
beet root extract,23
"cayenne pepper, powder",23
d-aspartic acid,23
reishi mushroom,23
immune support blend,23
senactiv,23
cranberry fruit concentrate,23
uva ursi leaf extract,23
curcumin c3 complex,23
meriva,23
phytase,23
quatrefolic,23
dandelion leaf extract,23
l-5-hydroxytryptophan,23
relora,22
mullein,22
peppermint,22
phytosterols,22
pyrroloquinoline quinone,22
ferrochel,22
antioxidant blend,22
lactobacillus plantarum,22
grape skin extract,22
beta-glucanase,22
proprietary mixed carotenoid blend,22
pomegranate whole fruit extract,22
papaya,22
extract blend,22
ceylon cinnamon,22
celery seed extract,22
horsetail aerial parts extract,22
wild yam root extract,22
echinacea purpurea,22
"horsetail, powder",22
dmae,22
branched chain amino acid complex,22
schisandra fruit extract,22
r-alpha lipoic acid,21
peptidase,21
barberry,21
gymnema sylvestre leaf extract,21
bovine colostrum,21
glutathione,21
l-aspartic acid,21
deglycyrrhizinated licorice root extract,21
tongkat ali root extract,21
prebiotic blend,21
"echinacea purpurea, powder",21
reishi mushroom fruiting body extract,21
mucuna pruriens seed extract,21
"red raspberry, powder",21
electrolyte hydration optimizer,21
borage oil,21
chasteberry fruit extract,21
nettle leaf extract,21
chaste tree berry extract,21
2 1 1 bcaa matrix,21
"psyllium, powder",21
lion s mane mushroom fruiting body extract,21
soy isoflavones,21
fiber blend,21
"tomato, powder",21
"branched-chain amino acids, instantized",20
l-carnitine tartrate,20
l-cysteine hydrochloride,20
pumpkin seed extract,20
"fennel, powder",20
pyrroloquinoline quinone disodium salt,20
greens blend,20
rosemary,20
l-carnitine l-tartrate,20
calamarine oil concentrate,20
acetyl l-carnitine,20
coleus forskohlii root extract,20
fruit vegetable blend,20
gamma aminobutyric acid,20
capsimax,20
pau d arco,20
red raspberry,20
dong quai,20
alpha galactosidase,20
stress and energy support blend,20
citrus bioflavonoids complex,20
colostrum,20
tin,20
"green tea leaf extract, decaffeinated",20
chrysin,20
shiitake mushroom,20
zeaxanthin complex,20
"dandelion, powder",20
andrographis aerial parts extract,20
white kidney bean extract,20
black cumin seed oil,19
organic fruit vegetable blend,19
curcumin,19
amla fruit extract,19
phytosterol complex,19
plant sterols,19
lactose,19
american ginseng,19
"milk thistle fruit, seed extract",19
"flaxseed, powder",19
ginkgo biloba extract,19
glucosamine,19
bladderwrack,19
ox bile,19
butcher s broom,19
coconut oil,19
holy basil,19
korean ginseng,19
organic whole food vegetable blend,19
honey,19
apigenin,19
sugar,19
l-carnitine fumarate,19
english ivy leaf extract,19
guar gum,19
chicory,19
branched chain amino acids,18
hibiscus flower extract,18
ox bile extract,18
bee pollen,18
sage leaf extract,18
bifidobacterium bifidum,18
carnipure,18
"pumpkin, powder",18
glucosamine sulfate 2kcl,18
vinpocetine,18
amazing grass green food blend,18
pumpkin,18
black walnut,18
digestive support blend,18
total calories,18
ashwagandha extract,18
added sugars,18
mixed citrus bioflavonoids,18
lactospore,18
aquamin,18
teacrine,18
"hawthorn flower, leaf extract",18
norwegian fish oil concentrate,18
whey protein concentrate,18
"coconut water, powder",18
"rutin, powder",18
thiamine hydrochloride,18
sugar alcohol,18
lemon bioflavonoids,18
"orange, powder",18
oregon grape,18
oregano oil,18
methionine,18
berberine,18
"blueberry, powder",18
damiana leaf extract,18
senna leaf extract,18
truebroc,18
calories from fat,18
oregano leaf extract,17
"muira puama, powder",17
"juniper, powder",17
superfood antioxidant powder blend,17
"cinnamon, powder",17
"tongkat ali, powder",17
curcumin phospholipid complex,17
"saw palmetto, powder",17
clove,17
plant sterol complex,17
artichoke,17
"panax ginseng, powder",17
menaquinone-7,17
gamma amino butyric acid,17
broccoli seed extract,17
leucine,17
fruit blend,17
black elderberry,17
schisandra,17
apresflex,17
diosmin,17
mixed carotenoids,17
magnolia bark extract,17
natural energizers,17
whey protein isolate,17
ribonucleic acid,17
l-serine,17
"bovine collagen peptides, hydrolyzed",17
acerola fruit extract,17
vanadyl sulfate,17
tribulus terrestris fruit extract,17
organic fruit blend,17
"caffeine, natural",17
trypsin,17
"dehydroepiandrosterone, micronized",17
total omega-3s,17
microcrystalline hydroxyapatite concentrate,17
lj100,17
raw organic fruit vegetable blend,17
"ginkgo biloba, powder",17
indian frankincense gum resin extract,17
"elderberry, powder",16
dimethylaminoethanol,16
ionic trace minerals,16
dim,16
trace mineral complex,16
l-ornithine,16
bacopa leaf extract,16
setria,16
gtf chromium,16
lactoferrin,16
amino blend,16
tribulus terrestris extract,16
lemon bioflavonoid,16
"hibiscus, powder",16
velvet bean seed extract,16
bio-quercetin phytosome,16
fibersol-2,16
efa fiber blend,16
selenoexcell,16
astareal,16
juniper berry extract,16
dynamine,16
amazing grass antioxidant blend,16
damiana,16
l-histidine hydrochloride,16
st. john s wort,16
catalase,16
citicoline,16
"passionflower, powder",16
n-acetyl glucosamine,16
citrus pectin,16
marine lipid concentrate,16
